route_id,origin,destination,from_station_id,from_station_name,to_station_id,to_station_name,distance_between_miles,cumulative_dist_miles,ObjectId
Red,Alewife,Ashmont,place-alfcl,Alewife,place-davis,Davis,0.96,0.96,1
Red,Alewife,Ashmont,place-davis,Davis,place-portr,Porter,0.66,1.62,2
Red,Alewife,Ashmont,place-portr,Porter,place-harsq,Harvard,0.99,2.61,3
Red,Alewife,Ashmont,place-harsq,Harvard,place-cntsq,Central,1.08,3.69,4
Red,Alewife,Ashmont,place-cntsq,Central,place-knncl,Kendall/MIT,0.95,4.64,5
Red,Alewife,Ashmont,place-knncl,Kendall/MIT,place-chmnl,Charles/MGH,0.71,5.35,6
Red,Alewife,Ashmont,place-chmnl,Charles/MGH,place-pktrm,Park Street,0.56,5.91,7
Red,Alewife,Ashmont,place-pktrm,Park Street,place-dwnxg,Downtown Crossing,0.22,6.13,8
Red,Alewife,Ashmont,place-dwnxg,Downtown Crossing,place-sstat,South Station,0.27,6.4,9
Red,Alewife,Ashmont,place-sstat,South Station,place-brdwy,Broadway,0.82,7.22,10
Red,Alewife,Ashmont,place-brdwy,Broadway,place-andrw,Andrew,0.84,8.06,11
Red,Alewife,Ashmont,place-andrw,Andrew,place-jfk,JFK/UMass,0.74,8.8,12
Red,Alewife,Ashmont,place-jfk,JFK/UMass,place-shmnl,Savin Hill,0.7,9.5,13
Red,Alewife,Ashmont,place-shmnl,Savin Hill,place-fldcr,Fields Corner,1,10.5,14
Red,Alewife,Ashmont,place-fldcr,Fields Corner,place-smmnl,Shawmut,0.59,11.09,15
Red,Alewife,Ashmont,place-smmnl,Shawmut,place-asmnl,Ashmont,0.62,11.71,16
Red,Alewife,Braintree,place-alfcl,Alewife,place-davis,Davis,0.96,0.96,17
Red,Alewife,Braintree,place-davis,Davis,place-portr,Porter,0.66,1.62,18
Red,Alewife,Braintree,place-portr,Porter,place-harsq,Harvard,0.99,2.61,19
Red,Alewife,Braintree,place-harsq,Harvard,place-cntsq,Central,1.08,3.69,20
Red,Alewife,Braintree,place-cntsq,Central,place-knncl,Kendall/MIT,0.95,4.64,21
Red,Alewife,Braintree,place-knncl,Kendall/MIT,place-chmnl,Charles/MGH,0.71,5.35,22
Red,Alewife,Braintree,place-chmnl,Charles/MGH,place-pktrm,Park Street,0.56,5.91,23
Red,Alewife,Braintree,place-pktrm,Park Street,place-dwnxg,Downtown Crossing,0.22,6.13,24
Red,Alewife,Braintree,place-dwnxg,Downtown Crossing,place-sstat,South Station,0.27,6.4,25
Red,Alewife,Braintree,place-sstat,South Station,place-brdwy,Broadway,0.82,7.22,26
Red,Alewife,Braintree,place-brdwy,Broadway,place-andrw,Andrew,0.84,8.06,27
Red,Alewife,Braintree,place-andrw,Andrew,place-jfk,JFK/UMass,0.78,8.84,28
Red,Alewife,Braintree,place-jfk,JFK/UMass,place-nqncy,North Quincy,3.53,12.37,29
Red,Alewife,Braintree,place-nqncy,North Quincy,place-wlsta,Wollaston,0.8,13.17,30
Red,Alewife,Braintree,place-wlsta,Wollaston,place-qnctr,Quincy Center,1.28,14.45,31
Red,Alewife,Braintree,place-qnctr,Quincy Center,place-qamnl,Quincy Adams,1.33,15.78,32
Red,Alewife,Braintree,place-qamnl,Quincy Adams,place-brntn,Braintree,1.86,17.64,33
Red,Braintree,Alewife,place-brntn,Braintree,place-qamnl,Quincy Adams,1.86,1.86,34
Red,Braintree,Alewife,place-qamnl,Quincy Adams,place-qnctr,Quincy Center,1.33,3.19,35
Red,Braintree,Alewife,place-qnctr,Quincy Center,place-wlsta,Wollaston,1.28,4.47,36
Red,Braintree,Alewife,place-wlsta,Wollaston,place-nqncy,North Quincy,0.8,5.27,37
Red,Braintree,Alewife,place-nqncy,North Quincy,place-jfk,JFK/UMass,3.53,8.8,38
Red,Braintree,Alewife,place-jfk,JFK/UMass,place-andrw,Andrew,0.78,9.58,39
Red,Braintree,Alewife,place-andrw,Andrew,place-brdwy,Broadway,0.85,10.43,40
Red,Braintree,Alewife,place-brdwy,Broadway,place-sstat,South Station,0.82,11.25,41
Red,Braintree,Alewife,place-sstat,South Station,place-dwnxg,Downtown Crossing,0.26,11.51,42
Red,Braintree,Alewife,place-dwnxg,Downtown Crossing,place-pktrm,Park Street,0.23,11.74,43
Red,Braintree,Alewife,place-pktrm,Park Street,place-chmnl,Charles/MGH,0.56,12.3,44
